symbol,name,price,volume_24h,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d
BTC,Bitcoin,102235.58959844479,51737186280.79782,2024946074253.8804,0.22269633,3.93180242,10.57701882,2.29616424,34.32736612,64.383015
ETH,Ethereum,3685.0700850954468,23938975145.39478,443952633890.7526,0.16511112,1.31999242,9.87121478,-8.04416793,26.97169206,50.87804798
XRP,XRP,2.4158812238530283,4386767823.684205,138790079809.9033,-0.10767929,0.37514598,17.59744168,-6.73327361,335.25423268,355.75359175
USDT,Tether USDt,1.0005688974684903,108050451895.51509,137349244166.73827,0.0237378,0.08193834,0.25465853,-0.0339052,0.00715107,0.11802191
SOL,Solana,218.44665484535773,3402575882.5971084,105533062118.9884,0.09711799,2.25000964,14.68788803,-8.78472747,11.42471843,52.43191465
BNB,BNB,731.2678729078717,2050497914.30414,105307433887.83385,-1.26853573,3.10346301,4.2094215,-2.72547199,22.12485262,25.98237496
DOGE,Dogecoin,0.3873588800523113,2937473218.4921536,57142099853.23771,-0.14679112,1.32011505,23.76528762,-14.97551826,100.00104397,262.32585319
USDC,USDC,1.0001471537296536,7726839970.588045,45902079166.02309,0.02247881,0.01656361,0.02711939,0.02189339,0.03663882,0.02514423
ADA,Cardano,1.0932603246369221,1304151161.071121,38429361828.51524,-0.59356954,-0.47812445,27.45066928,-10.13017686,172.41481925,217.5379188
TRX,TRON,0.2686149009557821,888799777.9086629,23151508847.457695,-0.02956986,2.23199409,6.2967918,-16.13266989,67.40651125,68.16319271
AVAX,Avalanche,43.89352157771775,672745089.846228,18005674273.07923,-0.2882076,2.03758022,22.3484981,-15.40557255,59.86182046,66.7491513
SUI,Sui,5.060227167014408,1493229539.3944297,15229104543.043442,-0.41230875,-3.78189489,21.98755571,18.08323837,119.02346843,154.2632913
LINK,Chainlink,23.776964467167023,946224589.1153932,15172080323.956236,-0.00718253,0.50835946,15.61430116,-4.42037994,88.33824093,119.58545201
TON,Toncoin,5.696696551123858,183691424.6170947,14467126463.185726,-0.14717665,-0.52446065,2.20701163,-16.57582946,15.81237494,9.65524865
SHIB,Shiba Inu,2.3986275000990547e-05,529203951.0172904,14134040255.191645,-0.09778488,0.16113365,13.7559141,-25.40468344,25.03101895,39.25695032
XLM,Stellar,0.4450104805449958,657355516.6863089,13512415141.634571,-0.17304517,0.59392642,34.61471286,-11.50027866,336.42314783,395.62823839
DOT,Polkadot,7.7525996469007605,374475651.33185714,11909995432.149736,0.21383361,0.82325387,16.01158508,-27.45995502,86.17272428,89.56729228
HBAR,Hedera,0.3082224569064815,683068142.7791616,11791565220.68362,-0.36021273,2.29173292,11.72180553,-7.140163,525.88111094,490.0163174
BCH,Bitcoin Cash,482.47332402017383,345667026.11454326,9558879098.360415,0.68380495,2.41781417,8.8425207,-21.12711703,27.51575896,47.00394385
UNI,Uniswap,15.064576784087421,584699137.3672804,9046023371.449121,0.12594321,-0.83871935,13.18687748,-17.46563387,68.63925788,110.18549696
PEPE,Pepe,2.0720605228375634e-05,1268353771.39055,8716949341.464716,0.12036878,-0.06065463,13.30869649,-18.41770196,89.77402121,118.50766587
LTC,Litecoin,113.91596322514002,716645108.2382494,8588205581.873043,0.2346746,-1.13225519,14.98929421,-14.91121265,59.01187267,73.54077894
HYPE,Hyperliquid,25.363953954109174,137739051.6180137,8469738981.49948,0.34519298,3.94980601,-5.63338479,80.19705847,692.55508602,692.55508602
LEO,UNUS SED LEO,9.082097880511128,755834.94131339,8395300337.810437,-0.13149018,0.0519091,0.52172506,-4.28787462,48.88435948,51.55794212
BGB,Bitget Token,6.199775638815659,307992584.31921,7439730766.578791,-0.06108005,3.2272093,-2.45455175,127.53231231,400.42874331,486.33422787
NEAR,NEAR Protocol,5.984850201227058,362728878.31691587,6994973409.705367,0.12299162,1.08771719,19.12377583,-23.15962454,41.08692388,22.55148142
USDe,Ethena USDe,0.9997018323436927,88057047.07453933,5823865292.357504,0.00530023,0.08411932,0.27959754,-0.24431218,-0.12657329,0.11036794
ICP,Internet Computer,12.138436948147769,217347766.04961476,5810456362.652128,0.16243954,-0.23881942,21.21376121,-17.79003128,55.24054089,52.23834216
APT,Aptos,10.15314216023297,341999107.8138114,5673027424.389334,0.34940318,0.64801433,14.82468315,-30.67108961,3.18702306,8.46194241
DAI,Dai,1.0003316109880163,121496235.31656426,5367161922.523988,0.00419991,0.03609748,0.05309875,0.01791135,0.05572775,0.04394161
AAVE,Aave,340.369137113321,544535235.3291066,5119501594.951448,-0.14384413,-0.63345989,6.11678115,20.47872966,85.48167363,138.05821338
RENDER,Render,8.871337825564042,825790093.9429317,4592671424.972173,0.52245914,6.76618215,30.17593739,-14.05205216,76.72085692,66.94349373
